FILE,LABEL,VALUE
calculation,item_type,calculation_loc
calculation,href,fb-20200630.xsd#fb_CashCashEquivalentsAndMarketableSecuritiesAtCarryingValue
calculation,label,loc_fb_CashCashEquivalentsAndMarketableSecuritiesAtCarryingValue_90fd38df-0feb-448c-7a30-0565eb73aaf3
calculation,type,locator
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_CashAndCashEquivalentsAtCarryingValue
calculation,label,loc_us-gaap_CashAndCashEquivalentsAtCarryingValue_26247a2d-7bac-8834-3dc5-06c993b10b2c
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_fb_CashCashEquivalentsAndMarketableSecuritiesAtCarryingValue_90fd38df-0feb-448c-7a30-0565eb73aaf3
calculation,to,loc_us-gaap_CashAndCashEquivalentsAtCarryingValue_26247a2d-7bac-8834-3dc5-06c993b10b2c
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_AvailableForSaleSecuritiesDebtSecuritiesCurrent
calculation,label,loc_us-gaap_AvailableForSaleSecuritiesDebtSecuritiesCurrent_b49a072d-9bbd-fc1a-97d6-c98455d056b7
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_fb_CashCashEquivalentsAndMarketableSecuritiesAtCarryingValue_90fd38df-0feb-448c-7a30-0565eb73aaf3
calculation,to,loc_us-gaap_AvailableForSaleSecuritiesDebtSecuritiesCurrent_b49a072d-9bbd-fc1a-97d6-c98455d056b7
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_AvailableForSaleSecuritiesDebtSecuritiesCurrent
calculation,label,loc_us-gaap_AvailableForSaleSecuritiesDebtSecuritiesCurrent_b49a072d-9bbd-fc1a-97d6-c98455d056b7
calculation,type,locator
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue
calculation,label,loc_us-gaap_AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue_637161ae-edda-4795-a48b-e7fc200f1f64
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
