ID,CATEGORY,LABEL,VALUE
us-gaap_CommitmentsAndContingenciesDisclosureAbstract_4E6A4FC4D84C1A607813056617E7CCE4,label_label,item_type,label_label
us-gaap_CommitmentsAndContingenciesDisclosureAbstract_4E6A4FC4D84C1A607813056617E7CCE4,label_label,id,lab_us-gaap_CommitmentsAndContingenciesDisclosureAbstract_4E6A4FC4D84C1A607813056617E7CCE4_label_en-US
us-gaap_CommitmentsAndContingenciesDisclosureAbstract_4E6A4FC4D84C1A607813056617E7CCE4,label_label,label,lab_us-gaap_CommitmentsAndContingenciesDisclosureAbstract_4E6A4FC4D84C1A607813056617E7CCE4
us-gaap_CommitmentsAndContingenciesDisclosureAbstract_4E6A4FC4D84C1A607813056617E7CCE4,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_CommitmentsAndContingenciesDisclosureAbstract_4E6A4FC4D84C1A607813056617E7CCE4,label_label,type,resource
us-gaap_CommitmentsAndContingenciesDisclosureAbstract_4E6A4FC4D84C1A607813056617E7CCE4,label_label,lang,en-US
us-gaap_CommitmentsAndContingenciesDisclosureAbstract_4E6A4FC4D84C1A607813056617E7CCE4,label_label,"{'item_type': 'label_label', 'id': 'lab_us-gaap_CommitmentsAndContingenciesDisclosureAbstract_4E6A4FC4D84C1A607813056617E7CCE4_label_en-US', 'label': 'lab_us-gaap_CommitmentsAndContingenciesDisclosureAbstract_4E6A4FC4D84C1A607813056617E7CCE4', 'role': 'http://www.xbrl.org/2003/role/label', 'type': 'resource', 'lang': 'en-US'}",None
us-gaap_CommitmentsAndContingenciesDisclosureTextBlock_7C8B4C2385E59A57DE12056617E7103D,label_label,item_type,label_label
us-gaap_CommitmentsAndContingenciesDisclosureTextBlock_7C8B4C2385E59A57DE12056617E7103D,label_label,id,lab_us-gaap_CommitmentsAndContingenciesDisclosureTextBlock_7C8B4C2385E59A57DE12056617E7103D_label_en-US
us-gaap_CommitmentsAndContingenciesDisclosureTextBlock_7C8B4C2385E59A57DE12056617E7103D,label_label,label,lab_us-gaap_CommitmentsAndContingenciesDisclosureTextBlock_7C8B4C2385E59A57DE12056617E7103D
us-gaap_CommitmentsAndContingenciesDisclosureTextBlock_7C8B4C2385E59A57DE12056617E7103D,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_CommitmentsAndContingenciesDisclosureTextBlock_7C8B4C2385E59A57DE12056617E7103D,label_label,type,resource
us-gaap_CommitmentsAndContingenciesDisclosureTextBlock_7C8B4C2385E59A57DE12056617E7103D,label_label,lang,en-US
us-gaap_CommitmentsAndContingenciesDisclosureTextBlock_7C8B4C2385E59A57DE12056617E7103D,label_label,"{'item_type': 'label_label', 'id': 'lab_us-gaap_CommitmentsAndContingenciesDisclosureTextBlock_7C8B4C2385E59A57DE12056617E7103D_label_en-US', 'label': 'lab_us-gaap_CommitmentsAndContingenciesDisclosureTextBlock_7C8B4C2385E59A57DE12056617E7103D', 'role': 'http://www.xbrl.org/2003/role/label', 'type': 'resource', 'lang': 'en-US'}",None
us-gaap_EquityAbstract_8A54DE46B32C84E40C6D0566178A76BC,label_label,item_type,label_label
us-gaap_EquityAbstract_8A54DE46B32C84E40C6D0566178A76BC,label_label,id,lab_us-gaap_EquityAbstract_8A54DE46B32C84E40C6D0566178A76BC_label_en-US
us-gaap_EquityAbstract_8A54DE46B32C84E40C6D0566178A76BC,label_label,label,lab_us-gaap_EquityAbstract_8A54DE46B32C84E40C6D0566178A76BC
us-gaap_EquityAbstract_8A54DE46B32C84E40C6D0566178A76BC,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_EquityAbstract_8A54DE46B32C84E40C6D0566178A76BC,label_label,type,resource
us-gaap_EquityAbstract_8A54DE46B32C84E40C6D0566178A76BC,label_label,lang,en-US
us-gaap_EquityAbstract_8A54DE46B32C84E40C6D0566178A76BC,label_label,"{'item_type': 'label_label', 'id': 'lab_us-gaap_EquityAbstract_8A54DE46B32C84E40C6D0566178A76BC_label_en-US', 'label': 'lab_us-gaap_EquityAbstract_8A54DE46B32C84E40C6D0566178A76BC', 'role': 'http://www.xbrl.org/2003/role/label', 'type': 'resource', 'lang': 'en-US'}",None
us-gaap_ScheduleOfShareBasedCompensationRestrictedStockUnitsAwardActivityTableTextBlock_F5AD5BB2CE50A16A4C350566178A6C6A,label_label,item_type,label_label
us-gaap_ScheduleOfShareBasedCompensationRestrictedStockUnitsAwardActivityTableTextBlock_F5AD5BB2CE50A16A4C350566178A6C6A,label_label,id,lab_us-gaap_ScheduleOfShareBasedCompensationRestrictedStockUnitsAwardActivityTableTextBlock_F5AD5BB2CE50A16A4C350566178A6C6A_label_en-US
us-gaap_ScheduleOfShareBasedCompensationRestrictedStockUnitsAwardActivityTableTextBlock_F5AD5BB2CE50A16A4C350566178A6C6A,label_label,label,lab_us-gaap_ScheduleOfShareBasedCompensationRestrictedStockUnitsAwardActivityTableTextBlock_F5AD5BB2CE50A16A4C350566178A6C6A
us-gaap_ScheduleOfShareBasedCompensationRestrictedStockUnitsAwardActivityTableTextBlock_F5AD5BB2CE50A16A4C350566178A6C6A,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_ScheduleOfShareBasedCompensationRestrictedStockUnitsAwardActivityTableTextBlock_F5AD5BB2CE50A16A4C350566178A6C6A,label_label,type,resource
us-gaap_ScheduleOfShareBasedCompensationRestrictedStockUnitsAwardActivityTableTextBlock_F5AD5BB2CE50A16A4C350566178A6C6A,label_label,lang,en-US
us-gaap_ScheduleOfShareBasedCompensationRestrictedStockUnitsAwardActivityTableTextBlock_F5AD5BB2CE50A16A4C350566178A6C6A,label_label,"{'item_type': 'label_label', 'id': 'lab_us-gaap_ScheduleOfShareBasedCompensationRestrictedStockUnitsAwardActivityTableTextBlock_F5AD5BB2CE50A16A4C350566178A6C6A_label_en-US', 'label': 'lab_us-gaap_ScheduleOfShareBasedCompensationRestrictedStockUnitsAwardActivityTableTextBlock_F5AD5BB2CE50A16A4C350566178A6C6A', 'role': 'http://www.xbrl.org/2003/role/label', 'type': 'resource', 'lang': 'en-US'}",None
us-gaap_IncomeTaxDisclosureAbstract_3491978E3E00EFC0C200056617C82E2B,label_label,item_type,label_label
us-gaap_IncomeTaxDisclosureAbstract_3491978E3E00EFC0C200056617C82E2B,label_label,id,lab_us-gaap_IncomeTaxDisclosureAbstract_3491978E3E00EFC0C200056617C82E2B_label_en-US
us-gaap_IncomeTaxDisclosureAbstract_3491978E3E00EFC0C200056617C82E2B,label_label,label,lab_us-gaap_IncomeTaxDisclosureAbstract_3491978E3E00EFC0C200056617C82E2B
us-gaap_IncomeTaxDisclosureAbstract_3491978E3E00EFC0C200056617C82E2B,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_IncomeTaxDisclosureAbstract_3491978E3E00EFC0C200056617C82E2B,label_label,type,resource
us-gaap_IncomeTaxDisclosureAbstract_3491978E3E00EFC0C200056617C82E2B,label_label,lang,en-US
us-gaap_IncomeTaxDisclosureAbstract_3491978E3E00EFC0C200056617C82E2B,label_label,"{'item_type': 'label_label', 'id': 'lab_us-gaap_IncomeTaxDisclosureAbstract_3491978E3E00EFC0C200056617C82E2B_label_en-US', 'label': 'lab_us-gaap_IncomeTaxDisclosureAbstract_3491978E3E00EFC0C200056617C82E2B', 'role': 'http://www.xbrl.org/2003/role/label', 'type': 'resource', 'lang': 'en-US'}",None
us-gaap_IncomeTaxDisclosureTextBlock_FA00741D33C1C9B1571E056617C822EE,label_label,item_type,label_label
us-gaap_IncomeTaxDisclosureTextBlock_FA00741D33C1C9B1571E056617C822EE,label_label,id,lab_us-gaap_IncomeTaxDisclosureTextBlock_FA00741D33C1C9B1571E056617C822EE_label_en-US
us-gaap_IncomeTaxDisclosureTextBlock_FA00741D33C1C9B1571E056617C822EE,label_label,label,lab_us-gaap_IncomeTaxDisclosureTextBlock_FA00741D33C1C9B1571E056617C822EE
us-gaap_IncomeTaxDisclosureTextBlock_FA00741D33C1C9B1571E056617C822EE,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_IncomeTaxDisclosureTextBlock_FA00741D33C1C9B1571E056617C822EE,label_label,type,resource
us-gaap_IncomeTaxDisclosureTextBlock_FA00741D33C1C9B1571E056617C822EE,label_label,lang,en-US
